ticker,date,signal_type,gap_pct,vol_ratio,run_pct,green_days,t0_close,t1_close,t5_close,next_day_return,five_day_return,direction,direction_confidence
CAL,2026-03-24,frd,,,0.3002,3,11.45,11.01,10.54,-0.03843,-0.07948,frd,0.5003763928067695
GRRR,2024-12-03,frd,,,0.4858,3,6.89,6.19,7.89,-0.1016,0.14514,frd,0.8097166219865107
GRRR,2024-12-24,frd,,,0.8153,7,13.68,15.45,24.33,0.12939,0.77851,frd,1.0
GRRR,2024-12-31,frd,,,0.6382,3,18.06,24.33,16.73,0.34718,-0.07364,frd,1.0
GRRR,2025-01-16,frd,,,0.3579,3,14.89,13.435,15.49,-0.09772,0.0403,frd,0.5965665540539619
GRRR,2025-02-11,frd,,,0.6488,5,20.77,24.2,30.26,0.16514,0.45691,frd,1.0
GRRR,2025-03-06,frd,,,0.9457,6,33.91,28.41,25.91,-0.16219,-0.23592,frd,1.0
GRRR,2026-04-21,frd,,,0.3546,7,13.95,13.48,13.06,-0.03369,-0.0638,frd,0.5910391401645508
CLPT,2025-10-01,frd,,,0.9455,7,20.91,25.05,29.6,0.19799,0.41559,frd,1.0
CLPT,2026-03-10,frd,,,0.3054,4,11.32,11.62,11.16,0.0265,-0.01413,frd,0.5090497290083413
CLPT,2026-04-20,frd,,,0.3583,5,11.16,10.72,11.21,-0.03943,0.00448,frd,0.5971581312085881
ISSC,2025-12-26,frd,,,0.7762,5,19.4,19.41,19.23,0.00052,-0.00876,frd,1.0
VITL,2024-05-10,frd,,,0.3493,4,36.41,35.6,37.64,-0.02225,0.03378,frd,0.5822081286582369
PAYS,2026-04-01,frd,,,0.8553,8,5.82,5.92,5.53,0.01718,-0.04983,frd,1.0
IMRX,2025-08-26,frd,,,0.7761,4,5.92,5.19,5.37,-0.12331,-0.09291,frd,1.0
IMRX,2025-09-15,frd,,,0.581,7,7.86,8.31,8.73,0.05725,0.11069,frd,0.9683426294382041
TSSI,2024-12-03,frd,,,0.5062,6,10.81,9.25,9.15,-0.14431,-0.15356,frd,0.8435933230881836
TSSI,2025-01-27,frd,,,0.5202,7,12.79,12.74,13.93,-0.00391,0.08913,frd,0.8670344273210625
TSSI,2025-05-16,gap_and_go,0.46561,30.764,,,15.44,13.96,13.18,-0.09585,-0.14637,long,1.0
TSSI,2025-06-05,frd,,,0.4028,4,16.94,19.84,20.46,0.17119,0.20779,frd,0.6712963504036364
TSSI,2025-06-25,frd,,,0.5487,6,27.17,31.1,28.3,0.14464,0.04159,frd,0.9144463012024767
TSSI,2025-07-28,frd,,,0.344,6,27.26,23.69,29.26,-0.13096,0.07337,frd,0.5733518672594028
TSSI,2026-01-20,frd,,,0.4127,5,11.12,11.42,10.83,0.02698,-0.02608,frd,0.6877687706049467
TSSI,2026-03-02,frd,,,0.3664,4,10.04,9.79,9.99,-0.0249,-0.00498,frd,0.6106701944206815
TSSI,2026-03-13,frd,,,0.4051,4,11.95,12.12,10.95,0.01423,-0.08368,frd,0.6751285784846383
GTE,2020-06-08,gap_and_go,0.36957,3.374,,,6.4,5.4,4.3,-0.15625,-0.32812,long,0.8435133686813717
GTE,2020-06-09,frd,,,1.6667,5,5.4,5.0,4.3,-0.07407,-0.2037,frd,1.0
GTE,2021-01-13,frd,,,0.3415,3,5.4,5.4,5.1,0.0,-0.05556,frd,0.5691057430617575
GTE,2021-02-12,frd,,,0.6825,5,10.3,10.8,9.7,0.04854,-0.05825,frd,1.0
GTE,2021-10-06,frd,,,0.3472,4,9.0,9.0,9.0,0.0,0.0,frd,0.5787037190341169
GTE,2026-03-09,frd,,,0.3362,7,7.85,7.85,8.43,0.0,0.07389,frd,0.5602716649564485
PLAY,2020-05-28,frd,,,0.3062,4,13.63,13.19,19.48,-0.03228,0.4292,frd,0.5102954420970567
PLAY,2020-08-12,frd,,,0.3248,6,15.54,15.27,13.87,-0.01737,-0.10746,frd,0.5412513648671609
PLAY,2020-11-09,gap_and_go,0.25784,3.736,,,24.66,23.69,23.8,-0.03933,-0.03487,long,0.9339726239269971
PLAY,2025-06-13,frd,,,0.3556,5,30.17,32.57,31.66,0.07955,0.04939,frd,0.5926090519308816
ABEO,2022-10-12,frd,,,0.7601,4,5.6,5.2,3.41,-0.07143,-0.39107,frd,1.0
RILY,2024-03-07,frd,,,0.4024,3,22.51,23.25,17.56,0.03287,-0.2199,frd,0.6706230094761078
RILY,2024-04-30,frd,,,0.9519,7,34.4,32.69,31.82,-0.04971,-0.075,frd,1.0
RILY,2025-03-03,frd,,,0.5361,3,5.4,5.24,4.46,-0.02963,-0.17407,frd,0.8934295275919082
RILY,2025-07-18,frd,,,0.3465,4,5.27,5.01,5.58,-0.04934,0.05882,frd,0.5775192655140811
RILY,2025-08-15,frd,,,0.3622,6,6.82,6.8,5.51,-0.00293,-0.19208,frd,0.6036745998103414
RILY,2025-12-16,gap_and_go,0.27151,31.759,,,5.72,4.72,4.63,-0.17483,-0.19056,long,1.0
RILY,2026-01-13,frd,,,0.7323,7,7.44,7.54,9.56,0.01344,0.28495,frd,1.0
ATOM,2021-01-05,gap_and_go,0.21887,13.074,,,21.82,22.97,26.47,0.0527,0.21311,long,1.0
ATOM,2021-01-12,frd,,,0.7579,5,26.47,27.89,32.08,0.05365,0.21194,frd,1.0
ATOM,2021-02-09,frd,,,0.3816,3,43.77,41.7,36.83,-0.04729,-0.15856,frd,0.6360302517681364
ATOM,2021-03-12,frd,,,0.3301,3,26.68,27.57,26.26,0.03336,-0.01574,frd,0.5500861225235413
ATOM,2021-06-10,frd,,,0.5682,5,25.0,25.77,24.49,0.0308,-0.0204,frd,0.9470336087119321
ATOM,2023-05-04,frd,,,0.8793,5,9.19,9.7,8.45,0.0555,-0.08052,frd,1.0
ATOM,2024-12-30,frd,,,0.7339,5,12.91,11.6,16.24,-0.10147,0.25794,frd,1.0
ATOM,2026-04-14,frd,,,0.3391,4,5.04,5.14,6.61,0.01984,0.31151,frd,0.5651103928743583
ATOM,2026-04-22,frd,,,0.3115,5,6.34,6.19,7.25,-0.02366,0.14353,frd,0.5191799548758146
EWCZ,2025-01-02,frd,,,0.3182,6,6.36,6.53,6.16,0.02673,-0.03145,frd,0.5303030802769815
EWCZ,2025-05-16,frd,,,0.5406,4,5.4,5.53,5.15,0.02407,-0.0463,frd,0.9010271255122465
PDYN,2024-12-26,gap_and_go,0.37348,12.007,,,7.29,11.77,10.31,0.61454,0.41427,long,1.0
PDYN,2024-12-31,frd,,,3.2524,6,12.27,11.76,7.6,-0.04156,-0.3806,frd,1.0
PDYN,2025-02-11,frd,,,0.5707,5,10.26,10.62,8.71,0.03509,-0.15107,frd,0.9511456110592905
PDYN,2025-07-18,frd,,,0.5222,5,12.24,10.8,10.3,-0.11765,-0.1585,frd,0.8703482235516419
PDYN,2026-01-07,frd,,,0.3662,3,5.77,6.5,6.76,0.12652,0.17158,frd,0.6103285833191179
NUS,2020-05-11,frd,,,0.3109,3,34.14,33.7,35.28,-0.01289,0.03339,frd,0.5181662980102694
NUS,2025-08-14,frd,,,0.4073,4,11.44,11.56,11.38,0.01049,-0.00524,frd,0.6788618354222485
DBI,2020-06-09,frd,,,0.5008,6,8.64,7.91,8.02,-0.08449,-0.07176,frd,0.8346926692524258
DBI,2021-01-26,frd,,,0.3137,3,11.16,11.34,11.97,0.01613,0.07258,frd,0.5228032481080155
DBI,2023-06-09,frd,,,0.3453,3,8.6,9.19,9.13,0.0686,0.06163,frd,0.5754276437166593
DBI,2025-12-09,gap_and_go,0.22887,19.386,,,7.2,8.47,8.41,0.17639,0.16806,long,1.0
RMAX,2026-04-29,frd,,,0.721,3,11.07,10.7,10.63,-0.03342,-0.03975,frd,1.0
FNKO,2020-06-09,frd,,,0.4241,4,7.11,6.81,6.395,-0.04219,-0.10056,frd,0.7067900992006708
FNKO,2021-03-16,frd,,,0.3605,4,17.96,18.23,18.12,0.01503,0.00891,frd,0.6009151873919479
